condition_id,model_id,checkpoint_hash,architecture,split,transform,severity,seed,mean_latency_ms,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
noise_0.1,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,noise,0.1,42.0,4.340353483232012,5099,0.5,2548,48,83,2420,0.9743086879780348,0.9741749038288108,0.9805510534846028,0.9668397922493008,0.9736471534902434,0.9966941057479868,0.996802165201264,0.0184899845916795,0.0331602077506991,0.0200115714917125
colour_-0.2,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,colour,-0.2,,1.105750877428284,5099,0.5,2586,10,5,2498,0.9970582467150422,0.9970751585000928,0.996012759170654,0.9980023971234518,0.997006585511874,0.9999042751163936,0.9999028619423076,0.0038520801232665,0.0019976028765481,0.0022174293264373
colour_-0.2,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,colour,-0.2,,4.047301595413219,5099,0.5,2590,6,6,2497,0.9976465973720338,0.9976458142370912,0.9976028765481424,0.9976028765481424,0.9976028765481424,0.999947520602396,0.9999458894875032,0.0023112480739599,0.0023971234518577,0.0018532436145664
colour_-0.2,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,colour,-0.2,,4.328374466757078,5099,0.5,2552,44,87,2416,0.9743086879780348,0.9741462787028448,0.9821138211382112,0.9652417099480624,0.9736046745919806,0.9962444142529736,0.9964982608844206,0.0169491525423728,0.0347582900519376,0.0205644616373336
colour_0.2,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,colour,0.2,,1.1155784887252649,5099,0.5,2590,6,15,2488,0.995881545401059,0.9958479716481978,0.9975942261427426,0.9940071913703556,0.9957974784870922,0.999875803888954,0.999873494213345,0.0023112480739599,0.0059928086296444,0.0033136082873122
colour_0.2,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,colour,0.2,,4.052000569327479,5099,0.5,2588,8,4,2499,0.9976465973720338,0.9976601268000742,0.9968089349820504,0.9984019176987616,0.9976047904191616,0.999960755875692,0.999960117239053,0.0030816640986132,0.0015980823012385,0.0017996443329819
colour_0.2,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,colour,0.2,,4.347764908019742,5099,0.5,2513,83,318,2185,0.9213571288487938,0.9204900960142128,0.9634038800705468,0.8729524570515381,0.9159505344791448,0.9832700759089094,0.9823775825082252,0.0319722650231124,0.1270475429484618,0.0587322775407479
crop_0.8,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,crop,0.8,,1.0958980335376654,5099,0.5,2594,2,9,2494,0.9978427142576975,0.99781694939878,0.999198717948718,0.9964043148222134,0.9977995599119824,0.9999267443012916,0.9999262299987416,0.0007704160246533,0.0035956851777866,0.0021460456629426
crop_0.8,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,crop,0.8,,4.036955815257237,5099,0.5,2593,3,8,2495,0.9978427142576975,0.9978241056802716,0.9987990392313852,0.9968038353975228,0.9978004399120176,0.9999719904681408,0.9999712018428936,0.0011556240369799,0.003196164602477,0.0018265576939714
crop_0.8,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,crop,0.8,,4.346529797801735,5099,0.5,2538,58,695,1808,0.8523239850951166,0.8499955677224311,0.9689174705251876,0.7223332001598082,0.8276493476768139,0.9683806242986076,0.9670132627853952,0.022342064714946,0.2776667998401917,0.1087230020483402
